beta,Energy,Mx,My,M2x,M2y,M3x,M3y,I,S
1.55,-1241,162,-90.0666,121,-39.8372,84,8.64601e-14,614,-51.9615
1.55,-1130,179,-45.0333,91,-27.7128,104,7.29889e-14,551,-41.5692
1.55,-1087,91.5,-61.4878,65.5,-14.7224,180,3.42901e-14,548,-4.66294e-15
1.55,-1203,106,-65.8179,-14,72.7461,40,5.09453e-14,577.5,7.79423
1.55,-1052.5,282,58.8897,133,43.3013,-6,1.02013e-13,516.5,-2.59808
1.55,-1167.5,-276,-5.19615,16,-12.1244,-48,4.8496e-14,588.5,-4.33013
1.55,-1112,-84.5,97.8609,-210.5,2.59808,46,5.02105e-15,543.5,21.6506
1.55,-1274,-157.5,28.5788,-150.5,-16.4545,186,-3.04937e-14,625,-43.3013
1.55,-989,194.5,-101.325,50.5,-44.1673,124,7.12744e-14,485,24.2487
1.55,-1102.5,203,-41.5692,235,-27.7128,128,8.59702e-14,556,-8.66025
1.55,-942,124,98.7269,223,20.7846,142,5.0333e-14,478,-48.4974
1.55,-1000.5,1,187.061,-2,-119.512,82,4.95982e-14,490,-8.66025
1.55,-1127,92.5,-14.7224,2.5,-19.9186,112,4.53119e-14,571.5,6.06218
1.55,-1099,196.5,-80.5404,32.5,-23.3827,-18,1.06912e-13,529,38.1051
1.55,-1039.5,274.5,-12.9904,77.5,-82.2724,18,1.18668e-13,493.5,-30.3109
1.55,-1130,-20,102.191,31,-96.9948,-44,9.08688e-14,576.5,-45.8993
1.55,-1072.5,-4.5,14.7224,11.5,61.4878,-66,6.96824e-14,536.5,-38.9711
1.55,-1112.5,135,-36.3731,-14,31.1769,36,6.2457e-14,553.5,21.6506
1.55,-1207,122,-13.8564,28,83.1384,80,3.99235e-14,591,19.0526
1.55,-1046.5,317,-96.9948,202,-19.0526,74,1.14504e-13,529.5,-33.775
1.55,-932,-99.5,-21.6506,-81.5,-106.521,70,4.323e-14,474.5,-44.1673
1.55,-1178.5,-171,-22.5167,-80,41.5692,0,2.47379e-14,597,-5.19615
1.55,-1175,-241.5,-38.9711,-6.5,58.0237,60,4.40873e-15,589.5,9.52628
1.55,-1104.5,-39.5,-109.985,-24.5,59.7558,-62,6.89476e-14,546,19.0526
1.55,-1075,2,-57.1577,100,84.8705,2,6.062e-14,530.5,-4.33013
1.55,-1075.5,-15.5,-175.803,-39.5,106.521,-8,4.82511e-14,531,31.1769
1.55,-1157,-57.5,51.0955,26.5,25.1147,94,2.11864e-14,593,-10.3923
1.55,-1099.5,56,-76.2102,-62,-41.5692,32,6.63759e-14,536,-65.8179
1.55,-1124.5,95,-126.44,-77,-140.296,-4,1.0483e-13,555,19.0526
1.55,-1149.5,-152,48.4974,67,32.909,22,3.51474e-14,588,-10.3923
1.55,-1074.5,-52,252.879,-50,-51.9615,2,4.27402e-14,527,-48.4974
1.55,-1178.5,-6.5,44.1673,-27.5,37.2391,40,3.52698e-14,603,-24.2487
