beta,Energy,Mx,My,M2x,M2y,M3x,M3y,I,S
1.37,-1052.5,-84.5,215.64,-99.5,101.325,-68,2.4248e-14,525.5,0.866025
1.37,-951.5,17,185.329,16,110.851,8,2.7677e-14,476.5,-14.7224
1.37,-1098,-39,107.387,61,-13.8564,-48,7.54382e-14,545,8.66025
1.37,-1071,94,143.76,-32,-64.0859,70,5.22924e-14,525.5,7.79423
1.37,-1188.5,-121.5,59.7558,35.5,-16.4545,72,2.93915e-14,593,34.641
1.37,-1164.5,-103,-48.4974,100,-25.9808,50,5.59664e-14,552.5,25.1147
1.37,-1006,-13,43.3013,-29,74.4782,98,8.69499e-15,493.5,11.2583
1.37,-1094,-73,-39.8372,43,-43.3013,110,3.73517e-14,554,-10.3923
1.37,-1014,72,-159.349,10,-13.8564,54,7.04172e-14,499.5,2.59808
1.37,-1149,-23.5,-94.3968,2.5,14.7224,2,6.30693e-14,561.5,19.9186
1.37,-1185.5,-37.5,-58.0237,29.5,-23.3827,36,5.97628e-14,571,5.19615
1.37,-890.5,49.5,-77.0763,-54.5,-44.1673,90,4.93533e-14,430,13.8564
1.37,-981,-58,-102.191,-68,19.0526,20,4.43322e-14,480.5,37.2391
1.37,-1210.5,-170.5,194.856,77.5,-42.4352,-34,5.69461e-14,619,-51.9615
1.37,-1164.5,-83.5,-68.416,41.5,11.2583,-52,7.59281e-14,565,-8.66025
1.37,-1012.5,136,-64.0859,88,-25.9808,40,8.79296e-14,508,-12.1244
1.37,-1244,88,-124.708,85,-1.73205,88,6.61309e-14,623,34.641
1.37,-1303.5,-75.5,-208.712,50.5,-58.0237,46,7.26216e-14,643,29.4449
1.37,-1117.5,190.5,16.4545,2.5,87.4686,48,5.1925e-14,560.5,-26.8468
1.37,-1190,321,-140.296,-35,-53.6936,-42,1.31894e-13,611.5,12.9904
1.37,-958,-98,-76.2102,46,110.851,-14,4.24952e-14,470,-12.1244
1.37,-868.5,56,180.133,70,-10.3923,2,6.69882e-14,401.5,2.59808
1.37,-1114,117.5,-71.8801,5.5,-35.507,20,8.42557e-14,557,27.7128
1.37,-1119,129,-173.205,94,29.4449,102,6.47838e-14,562,27.7128
1.37,-759,-145.5,-115.181,35.5,-7.79423,48,4.43322e-14,367.5,2.59808
1.37,-1044,-166.5,-80.5404,29.5,-82.2724,-42,8.19289e-14,540.5,28.5788
1.37,-1013,13,29.4449,-137,-8.66025,-92,7.54382e-14,507.5,21.6506
1.37,-972.5,-158,65.8179,25,12.1244,-14,4.3475e-14,480,12.1244
1.37,-1181,40.5,-21.6506,-72.5,-97.8609,42,6.82128e-14,585,-51.9615
1.37,-1162,-191.5,64.9519,-54.5,-167.143,-10,6.64983e-14,596.5,28.5788
1.37,-1231,-145,135.1,-50,-216.506,20,6.90701e-14,627,-19.0526
1.37,-835,-101.5,238.157,-111.5,7.79423,20,1.20015e-14,427,6.9282
1.37,-1141.5,-34.5,64.9519,-27.5,120.378,36,1.3961e-14,571.5,-54.5596
1.37,-1139,-180,-12.1244,55,3.4641,6,4.56793e-14,563.5,-19.9186
1.37,-1085.5,-72,43.3013,-59,3.4641,-102,7.40911e-14,549.5,6.06218
1.37,-1124,-13.5,2.59808,14.5,49.3634,-42,6.50287e-14,569,22.5167
1.37,-1005.5,-45,45.0333,67,27.7128,30,4.71489e-14,482,-3.4641
1.37,-1155.5,-43,19.0526,7,-43.3013,80,4.1638e-14,579,-24.2487
1.37,-1102.5,20,-15.5885,1,79.6743,104,1.76349e-14,548.5,-18.1865
1.37,-1252.5,-6,-187.061,55,53.6936,150,2.46154e-14,620.5,-25.1147
1.37,-1233.5,-135,-197.454,-59,131.636,66,4.77612e-15,621.5,2.59808
1.37,-1231,175.5,-226.033,-6.5,63.2199,72,6.39266e-14,625.5,4.33013
1.37,-889.5,-4.5,116.913,-180.5,-16.4545,-6,3.71068e-14,424.5,-28.5788
1.37,-967.5,101.5,302.243,-150.5,120.378,-20,1.59204e-14,474.5,12.9904
1.37,-1137.5,-13,176.669,-23,100.459,-64,4.40873e-14,575,-13.8564
1.37,-1098,-205.5,-54.5596,134.5,92.6647,-102,6.94375e-14,556,-31.1769
1.37,-971.5,78,20.7846,-155,157.617,-42,3.12285e-14,463,-1.73205
1.37,-989,322.5,142.894,-39.5,23.3827,-108,1.15362e-13,489.5,30.3109
1.37,-1128.5,236.5,224.301,-9.5,-33.775,-44,9.52775e-14,579.5,-23.3827
1.37,-1003,-46,150.688,100,-25.9808,-22,7.0907e-14,500.5,12.9904
1.37,-908.5,23.5,148.09,122.5,23.3827,-8,6.76005e-14,450.5,-9.52628
1.37,-1052,102,-188.794,-47,6.9282,36,7.02947e-14,529.5,28.5788
1.37,-829.5,194,-112.583,-71,-93.5307,2,1.04952e-13,406,34.641
1.37,-849,54.5,47.6314,23.5,-21.6506,-34,8.38883e-14,414.5,7.79423
1.37,-1053.5,-8.5,129.038,155.5,-11.2583,32,6.41715e-14,530.5,-11.2583
1.37,-911,-172,128.172,-20,-17.3205,20,2.7677e-14,440,-10.3923
1.37,-1119,-73.5,134.234,-75.5,-6.06218,96,6.85802e-15,560.5,-0.866025
1.37,-1097,-142.5,-85.7365,-24.5,47.6314,48,2.35132e-14,559,27.7128
1.37,-957.5,172,24.2487,250,-93.5307,46,1.18423e-13,470.5,-32.0429
1.37,-1100,-4,-41.5692,37,-39.8372,-16,8.30311e-14,569.5,-4.33013
1.37,-1034,-1.5,-4.33013,44.5,-9.52628,-24,7.76426e-14,518.5,11.2583
1.37,-1138,-43.5,-153.286,29.5,23.3827,30,5.76809e-14,563.5,-19.9186
1.37,-1015,17.5,-66.684,62.5,-135.966,16,1.01156e-13,507,-20.7846
1.37,-1226,38.5,-101.325,272.5,-9.52628,100,7.93571e-14,607,-41.5692
1.37,-910,-136.5,-19.9186,-24.5,-312.635,126,7.21317e-14,460.5,11.2583
1.37,-1053.5,-7.5,68.416,-60.5,89.2006,66,1.04095e-14,495,-34.641
1.37,-1225,-149,86.6025,73,-100.459,-2,6.91925e-14,589.5,-40.7032
1.37,-1016,-74.5,-109.985,-111.5,-85.7365,32,5.60888e-14,483,-6.9282
1.37,-1273,81.5,-101.325,-90.5,-106.521,38,7.97245e-14,629.5,18.1865
1.37,-1251.5,61.5,-168.875,-162.5,-208.712,-60,1.24914e-13,633,-2.66454e-15
1.37,-937,78.5,-99.5929,104.5,-49.3634,-34,1.13035e-13,462.5,12.9904
1.37,-1058.5,-16.5,-99.5929,50.5,45.8993,36,5.31497e-14,516,12.1244
1.37,-1135,-46.5,4.33013,164.5,11.2583,-12,7.81325e-14,578,8.66025
1.37,-1065.5,-56,157.617,-68,43.3013,-50,4.24952e-14,514.5,-2.59808
1.37,-1157.5,86,285.788,-86,36.3731,-46,4.88634e-14,574.5,-9.52628
1.37,-1191,273.5,245.085,14.5,155.019,-34,5.81707e-14,585,36.3731
1.37,-917.5,-87.5,19.9186,35.5,71.8801,-14,4.39648e-14,463.5,11.2583
1.37,-1080,-210,-211.31,-35,15.5885,60,2.59625e-14,550.5,12.9904
1.37,-1159.5,27,349.874,-89,34.641,54,6.49063e-15,580,-6.9282
1.37,-972,-80.5,37.2391,-12.5,250.281,20,-1.0532e-14,472.5,-25.1147
1.37,-1018,-54,50.2295,7,38.1051,18,3.9801e-14,512.5,-16.4545
1.37,-1012.5,-5,81.4064,-80,-48.4974,-14,6.11099e-14,505.5,-9.52628
1.37,-1070.5,-15.5,-80.5404,-6.5,75.3442,70,2.82893e-14,565.5,-6.06218
1.37,-1032,-27.5,30.3109,-111.5,14.7224,46,2.63299e-14,531,45.0333
1.37,-1230,-93.5,-56.2917,29.5,6.06218,16,5.26598e-14,615,-32.909
1.37,-1001.5,-55,-135.1,-29,-38.1051,110,3.6372e-14,487,3.4641
1.37,-793.5,-164.5,-134.234,-0.5,2.59808,8,4.89859e-14,428.5,-12.9904
1.37,-1129,-83,-216.506,-65,-22.5167,16,5.97628e-14,574.5,-26.8468
1.37,-1149.5,49.5,-101.325,14.5,-4.33013,54,6.20896e-14,574.5,-16.4545
1.37,-962,105.5,84.0045,-75.5,-12.9904,-100,9.38079e-14,466,-6.9282
1.37,-1018.5,160.5,-30.3109,35.5,-58.0237,-36,1.12178e-13,483.5,-0.866025
1.37,-998,258.5,30.3109,53.5,-66.684,-64,1.32507e-13,509,-27.7128
1.37,-1062.5,-102.5,87.4686,-21.5,-109.985,-50,7.99694e-14,532.5,-23.3827
1.37,-1069,-112,-133.368,-116,46.7654,-34,4.46996e-14,554.5,-19.9186
1.37,-1092.5,28,-259.808,-110,55.4256,-14,6.35592e-14,547.5,49.3634
1.37,-1036,-119,-148.956,154,43.3013,-14,7.26216e-14,538,31.1769
1.37,-1105.5,91.5,-151.554,-60.5,-115.181,-66,1.21852e-13,569.5,-6.06218
1.37,-1114.5,153.5,-141.162,20.5,-78.8083,-70,1.32139e-13,577,-5.19615
1.37,-1059,108,-98.7269,91,-3.4641,36,8.37658e-14,527,6.55032e-15
1.37,-1163.5,81,45.0333,112,57.1577,18,6.55186e-14,584.5,6.06218
1.37,-1231.5,-21,121.244,55,27.7128,12,4.87409e-14,596,-19.0526
1.37,-1125,-103,65.8179,25,-58.8897,-76,8.42557e-14,539.5,-21.6506
1.37,-1000,-183.5,212.176,-84.5,-30.3109,64,1.71451e-15,491.5,12.9904
1.37,-882,-78.5,168.875,-141.5,-56.2917,64,1.61653e-14,456,-24.2487
1.37,-1017.5,-215.5,149.822,-75.5,47.6314,158,-4.20054e-14,509.5,-23.3827
1.37,-950,21.5,160.215,-0.5,-80.5404,62,5.20475e-14,474.5,11.2583
1.37,-1031.5,23,129.904,-122,-96.9948,86,3.56372e-14,514,1.73205
1.37,-745.5,71.5,58.0237,191.5,-78.8083,88,8.05818e-14,384,3.4641
1.37,-1009.5,-59.5,7.79423,-117.5,-87.4686,74,3.6372e-14,496.5,4.33013
1.37,-1171.5,-89,126.44,-2,-38.1051,4,4.94757e-14,579,-24.2487
1.37,-937.5,103.5,51.0955,41.5,52.8275,-114,1.00544e-13,462.5,-19.9186
1.37,-1087.5,166.5,11.2583,-6.5,-68.416,-24,1.0336e-13,532,-39.8372
1.37,-1181,179,178.401,79,29.4449,-88,1.0238e-13,586,-17.3205
1.37,-811,216,-43.3013,70,-140.296,12,1.26873e-13,405,1.73205
1.37,-1023,-43,-110.851,-26,-143.76,-16,9.74819e-14,496,-3.4641
1.37,-1112.5,215,-116.047,-35,-77.9423,-28,1.18056e-13,549.5,-14.7224
1.37,-1188,209,-193.99,-173,-190.526,-94,1.50019e-13,590,1.73205
1.37,-1099.5,96.5,21.6506,47.5,226.033,-28,3.94336e-14,553.5,33.775
1.37,-1191,97.5,-283.19,-9.5,-26.8468,6,9.73594e-14,601.5,6.06218
1.37,-1140,86.5,78.8083,17.5,40.7032,-56,7.83774e-14,584,-27.7128
1.37,-1129.5,63.5,134.234,-150.5,42.4352,-46,4.76388e-14,566.5,-28.5788
1.37,-1147,138.5,122.11,5.5,170.607,20,2.93915e-14,564,15.5885
1.37,-1009.5,-174.5,-54.5596,179.5,-42.4352,-80,1.00666e-13,483.5,-12.9904
1.37,-1119.5,-44,86.6025,-179,129.904,-32,1.15117e-14,562.5,-4.33013
1.37,-1163.5,-139.5,38.9711,-66.5,-99.5929,48,4.11481e-14,595.5,6.06218
1.37,-1234.5,-30,155.885,-167,-25.9808,42,2.02067e-14,615.5,-14.7224
1.37,-1145.5,-264,263.272,-41,-161.081,90,1.33487e-14,564,5.19615
1.37,-1289,-247,339.482,-143,-207.846,128,-4.1638e-15,651,24.2487
1.37,-1130.5,-109.5,-172.339,-192.5,125.574,84,-1.44508e-14,559,13.8564
1.37,-1124.5,166,-98.7269,49,-86.6025,70,9.29507e-14,554,13.8564
1.37,-962,203,114.315,-59,155.885,38,2.75546e-14,479.5,-9.52628
1.37,-1038.5,43,27.7128,-62,-32.909,34,5.49866e-14,526.5,-49.3634
1.37,-1071,-173.5,-51.0955,-72.5,-16.4545,38,2.80444e-14,551,6.9282
1.37,-1159,-84,232.095,-110,8.27116e-14,90,-5.02105e-15,598,20.7846
1.37,-979.5,22.5,-37.2391,-147.5,12.9904,18,4.17605e-14,487.5,-2.59808
1.37,-1263,185,-71.0141,-77,-150.688,-40,1.25159e-13,654,-8.66025
1.37,-1120.5,-204,-100.459,100,103.923,-42,4.78837e-14,565,-64.0859
1.37,-866,-84,181.865,-2,-46.7654,54,3.26981e-14,453,-10.3923
1.37,-844,-144,8.66025,103,45.0333,12,4.38424e-14,444.5,-4.33013
1.37,-1147,-41,3.4641,109,76.2102,-8,5.70685e-14,573,-13.8564
1.37,-1063.5,30.5,87.4686,11.5,28.5788,-28,6.41715e-14,538,-1.73205
1.37,-1165.5,-56.5,61.4878,-24.5,45.8993,20,3.25756e-14,588,24.2487
1.37,-1097,-109,67.55,19,36.3731,-64,5.8783e-14,552,17.3205
1.37,-1116.5,-7,98.7269,-44,-13.8564,-52,6.83353e-14,563,39.8372
1.37,-1067.5,-72,-79.6743,-2,51.9615,60,2.98814e-14,533.5,9.52628
1.37,-1002.5,-44.5,-37.2391,104.5,-64.9519,32,7.66629e-14,496,8.66025
1.37,-1049.5,150,39.8372,37,-3.4641,-24,9.08688e-14,525,-25.9808
1.37,-1152,134.5,37.2391,5.5,40.7032,-20,7.47035e-14,581,-20.7846
1.37,-1094.5,102,83.1384,13,12.1244,-24,7.56832e-14,552.5,-32.0429
1.37,-1104.5,203,100.459,-5,-55.4256,14,8.73173e-14,560,17.3205
1.37,-1096.5,147.5,-9.52628,-57.5,-75.3442,-4,9.16036e-14,566.5,16.4545
1.37,-1147,48,-31.1769,103,-95.2628,-42,1.16464e-13,574,43.3013
1.37,-990,8.5,-122.11,110.5,-96.1288,52,9.03789e-14,493.5,-6.06218
1.37,-1059,-5.55112e-16,-192.258,-56,-32.909,-30,8.56028e-14,522,-15.5885
1.37,-1164.5,56,-206.114,58,5.19615,38,7.84999e-14,574,41.5692
1.37,-898,-84,117.779,-2,-218.238,42,7.72752e-14,442,19.0526
1.37,-1210,-21.5,-155.019,-12.5,97.8609,148,3.42901e-15,601.5,-4.33013
1.37,-1232,88,-206.114,142,32.909,58,8.07042e-14,636,-1.44329e-15
1.37,-986.5,262,-39.8372,151,62.3538,58,8.5113e-14,499.5,-4.33013
1.37,-1042,-220.5,-352.472,-6.5,186.195,114,-1.45733e-14,522.5,4.33013
1.35,-943,172.5,125.574,56.5,120.378,-90,8.38883e-14,468,-6.9282
1.35,-1247.5,62,154.153,-2,1.73205,-64,7.83774e-14,637.5,-25.1147
1.35,-1169.5,-54.5,158.483,-6.5,111.717,-68,4.11481e-14,576,-19.0526
1.35,-1171.5,-162.5,49.3634,26.5,7.79423,-8,4.33525e-14,571.5,-16.4545
1.35,-1016,-187,-29.4449,127,19.0526,-88,8.03368e-14,500.5,-21.6506
1.35,-995,-54.5,51.0955,167.5,97.8609,-50,6.7478e-14,499,7.77156e-16
1.35,-1033,-82.5,54.5596,14.5,-21.6506,66,3.49024e-14,512.5,-21.6506
1.35,-1168.5,67,133.368,-47,-36.3731,70,4.20054e-14,578,25.9808
1.35,-1075.5,96.5,-220.836,-18.5,94.3968,128,2.86567e-14,575,27.7128
1.35,-1029.5,-65,1.73205,-11,22.5167,-8,5.09453e-14,531.5,-12.9904
1.35,-1129.5,-19.5,92.6647,11.5,-94.3968,-30,8.43782e-14,561.5,2.59808
1.35,-984.5,98,-45.0333,25,-67.55,26,8.73173e-14,501.5,18.1865
1.35,-1061,56.5,-33.775,2.5,-77.0763,-14,9.29507e-14,529,10.3923
1.35,-988,-11.5,-7.79423,-114.5,23.3827,-94,7.16418e-14,491.5,0.866025
1.35,-870,-77.5,-155.019,-84.5,56.2917,-10,4.49445e-14,446.5,28.5788
1.35,-880,163,-48.4974,4,74.4782,-26,7.87448e-14,451.5,-9.52628
1.35,-1279.5,61.5,-155.019,-120.5,40.7032,0,5.78033e-14,653,46.7654
1.35,-1071.5,-105.5,-92.6647,50.5,-80.5404,-38,9.12362e-14,546.5,-35.507
1.35,-1161.5,-89,-209.578,-20,10.3923,40,4.97207e-14,562.5,-38.9711
1.35,-1217.5,-53.5,-232.961,50.5,-47.6314,-52,1.0483e-13,610,-31.1769
1.35,-970,-71.5,-215.64,26.5,90.9327,14,4.88634e-14,505.5,-19.9186
1.35,-1177.5,-98.5,-286.654,-87.5,84.0045,80,1.78798e-14,578.5,14.7224
1.35,-901.5,-57.5,-26.8468,-126.5,-103.057,88,3.69843e-14,444.5,-35.507
1.35,-995.5,-77.5,-11.2583,74.5,56.2917,-28,5.97628e-14,495,51.9615
1.35,-1015,-60.5,-11.2583,41.5,63.2199,-32,5.75584e-14,514.5,16.4545
1.35,-1214.5,-228,79.6743,-47,12.1244,-54,3.73517e-14,615,-6.9282
1.35,-1079.5,8,164.545,-74,50.2295,2,3.17184e-14,530,-6.9282
1.35,-1135.5,-141.5,108.253,5.5,-61.4878,40,3.91887e-14,564,22.5167
1.35,-1188.5,-190,51.9615,100,-10.3923,-70,7.16418e-14,577.5,-26.8468
1.35,-960,-61.5,66.684,56.5,-66.684,-24,7.88673e-14,484,48.4974
1.35,-987.5,-59,140.296,-20,-103.923,-26,7.31114e-14,506,-17.3205
1.35,-1270.5,-30,112.583,-41,-117.779,78,4.71489e-14,649,-36.3731
1.35,-839.5,29,91.7987,-80,-166.277,74,6.25795e-14,429,6.9282
1.35,-1183.5,62.5,7.79423,17.5,-113.449,-8,9.84616e-14,590.5,0.866025
1.35,-993,8.5,-99.5929,-126.5,42.4352,-68,6.71106e-14,501,-13.8564
1.35,-964.5,68,3.4641,-11,39.8372,56,4.38424e-14,503.5,-14.7224
1.35,-1046,-44,190.526,10,-3.4641,-32,5.5599e-14,529.5,0.866025
1.35,-1175.5,67,-91.7987,-65,15.5885,28,5.75584e-14,579.5,-12.9904
1.35,-1038,-51.5,-120.378,32.5,96.1288,82,2.33908e-14,530,24.2487
1.35,-944,-71.5,-90.9327,92.5,77.0763,26,4.73938e-14,483.5,23.3827
1.35,-1070.5,-111.5,-7.79423,5.5,30.3109,-20,4.99656e-14,531,-36.3731
1.35,-1075.5,-9,-91.7987,7,67.55,-24,6.19671e-14,522,-12.1244
1.35,-1104.5,34.5,-160.215,-75.5,59.7558,30,4.71489e-14,552.5,30.3109
1.35,-1129.5,-26,-166.277,43,-50.2295,4,8.59702e-14,583,34.641
1.35,-1068.5,-98.5,-11.2583,110.5,40.7032,20,5.02105e-14,512,-31.1769
1.35,-1085.5,-132.5,-35.507,-9.5,-66.684,-38,7.36013e-14,545.5,-11.2583
1.35,-1105,-38.5,35.507,-63.5,-9.52628,-106,8.21738e-14,560,-1.73205
1.35,-1203.5,-7,88.3346,-26,-31.1769,-46,7.31114e-14,599.5,-2.59808
1.35,-1213,-75.5,-135.966,50.5,-68.416,-38,9.54e-14,615.5,-14.7224
1.35,-865,95.5,-33.775,-48.5,99.5929,-56,6.68657e-14,437,-1.73205
1.35,-1085,128.5,40.7032,-24.5,-0.866025,-8,7.51933e-14,539.5,-11.2583
1.35,-1092,179.5,158.483,-30.5,32.0429,64,4.33525e-14,550,-15.5885
1.35,-1069,24,-325.626,-170,-45.0333,-18,8.29086e-14,527,-10.3923
1.35,-1259.5,174.5,-148.09,107.5,-19.9186,2,1.1132e-13,633,-38.1051
1.35,-988,172.5,61.4878,20.5,-33.775,-54,1.05687e-13,515,38.1051
1.35,-1090.5,194,13.8564,49,-36.3731,110,6.55186e-14,556.5,25.1147
1.35,-932,-30.5,-40.7032,-48.5,-84.0045,64,5.41294e-14,460,3.2082e-15
1.35,-1233.5,-131.5,-89.2006,41.5,59.7558,-70,6.67433e-14,613,-25.9808
1.35,-1210.5,-59.5,-14.7224,44.5,90.9327,50,2.73096e-14,616.5,19.9186
1.35,-988,-32,29.4449,52,5.19615,-32,7.17643e-14,505,-1.73205
1.35,-1137,-79.5,-123.842,23.5,21.6506,-24,6.73556e-14,576.5,-38.9711
1.35,-1197.5,29.5,-90.9327,20.5,44.1673,-62,8.4868e-14,619,-13.8564
1.35,-1215,40.5,40.7032,-99.5,219.104,-24,1.34711e-14,617.5,-23.3827
1.35,-954.5,21.5,-210.444,26.5,-9.52628,-4,8.6705e-14,479,1.73205
1.35,-894,54,-114.315,166,-3.4641,-6,1.00299e-13,427.5,26.8468
1.35,-1093,-158.5,-68.416,-6.5,-21.6506,44,3.84539e-14,555.5,14.7224
1.35,-838.5,-19,15.5885,-110,-124.708,74,4.95982e-14,426,-22.5167
1.35,-1139,-41.5,118.645,-159.5,-90.9327,50,3.36778e-14,591,22.5167
1.35,-1079,-135,213.042,-50,-17.3205,78,4.77612e-15,537.5,-16.4545
1.35,-961,-62,-74.4782,-53,96.9948,112,-9.79717e-16,486,-8.66025
1.35,-1152,-88,71.0141,64,-60.6218,38,5.59664e-14,572,-3.4641
1.35,-1060.5,-15.5,37.2391,89.5,75.3442,4,5.1925e-14,536.5,-28.5788
1.35,-1320.5,-16,-96.9948,112,-69.282,-4,9.7237e-14,661,65.8179
1.35,-1192,40.5,-73.6122,-3.5,18.1865,24,6.12323e-14,598,34.641
1.35,-1028,59.5,109.985,-84.5,38.9711,-8,4.60467e-14,521.5,-14.7224
1.35,-1020.5,199.5,-92.6647,38.5,-12.9904,-6,1.02993e-13,508.5,26.8468
1.35,-1240,124.5,-111.717,119.5,-4.33013,12,9.77268e-14,605,-6.9282
1.35,-1136.5,21,-74.4782,16,-38.1051,-36,9.16036e-14,575,38.1051
1.35,-1274.5,40,-114.315,13,-102.191,-146,1.43651e-13,631,10.3923
1.35,-1174,136.5,19.9186,-159.5,-12.9904,-78,8.5113e-14,583.5,42.4352
1.35,-1215,166,140.296,-47,58.8897,-56,7.20092e-14,614,-46.7654
1.35,-1146,-39.5,-71.8801,-168.5,-47.6314,52,3.64945e-14,583.5,33.775
1.35,-1036,-75.5,115.181,-135.5,-56.2917,16,3.57597e-14,499.5,-6.06218
1.35,-1009.5,28.5,-30.3109,35.5,14.7224,30,6.03751e-14,492,24.2487
1.35,-1071,-114.5,77.0763,17.5,-7.79423,34,3.66169e-14,548,1.73205
1.35,-1043,-30,110.851,-74,51.9615,-42,4.39648e-14,529.5,-25.1147
1.35,-1123,125,-67.55,148,13.8564,44,8.45006e-14,566,-6.9282
1.35,-1157,-2.5,-113.449,68.5,21.6506,62,5.52316e-14,538.5,-33.775
1.35,-1050.5,59.5,-85.7365,-111.5,-23.3827,-2,6.79679e-14,533,12.1244
1.35,-1131.5,190,29.4449,-32,-36.3731,-98,1.17689e-13,577.5,4.33013
1.35,-1075.5,-80,53.6936,37,93.5307,22,2.70647e-14,519.5,16.4545
1.35,-1021.5,93.5,25.1147,14.5,42.4352,2,6.45389e-14,521,24.2487
1.35,-957,23,150.688,-50,3.4641,14,4.37199e-14,478,27.7128
1.35,-908.5,35,-143.76,-89,50.2295,-118,9.1726e-14,457,-20.7846
1.35,-1009.5,260,17.3205,28,72.7461,-46,9.54e-14,512,-25.9808
1.35,-1145,90.5,-236.425,-84.5,-7.79423,-34,9.22159e-14,548.5,-28.5788
1.35,-1199.5,-100,-145.492,28,86.6025,20,3.96786e-14,612.5,-25.1147
1.35,-987.5,-114.5,134.234,26.5,-73.6122,10,5.49866e-14,511,-17.3205
1.35,-1225,-9,218.238,-86,-74.4782,78,2.75546e-14,611.5,-6.06218
1.35,-1090.5,85.5,194.856,-135.5,84.0045,-30,3.41676e-14,532.5,2.59808
1.35,-1240.5,236.5,158.483,-90.5,168.875,-56,5.07004e-14,628,-19.0526
1.35,-1056.5,205,-60.6218,94,-90.0666,16,1.17811e-13,516.5,23.3827
1.35,-1189.5,184,157.617,28,8.66025,-2,7.62955e-14,590,-20.7846
1.35,-1202.5,83.5,113.449,-54.5,0.866025,-50,7.33563e-14,590.5,-18.1865
1.35,-1148,6.5,92.6647,-21.5,-71.8801,-10,7.26216e-14,563,5.19615
1.35,-1206.5,-25.5,239.889,-36.5,-120.378,150,1.77574e-14,593.5,-14.7224
1.35,-1055,166.5,96.1288,14.5,35.507,12,6.68657e-14,516.5,19.9186
1.35,-1134,120.5,92.6647,-39.5,194.856,-4,2.59625e-14,577,19.0526
1.35,-1063,-445.5,-129.038,155.5,40.7032,-132,6.80904e-14,533,1.73205
1.35,-974,-331,-24.2487,19,-117.779,-4,5.24149e-14,521,-17.3205
1.35,-874,-201.5,-90.9327,-30.5,78.8083,76,7.34788e-16,426,31.1769
1.35,-914,-173,71.0141,40,-86.6025,-2,6.03751e-14,480,7.66054e-15
1.35,-1098.5,-309,8.66025,145,-5.19615,-102,7.43361e-14,561.5,-40.7032
1.35,-1074,-41.5,200.052,56.5,-23.3827,92,2.71872e-14,532.5,21.6506
1.35,-935.5,-287.5,-0.866025,-12.5,168.875,20,-1.59204e-14,478.5,-18.1865
1.35,-1134.5,-8,-148.956,-233,147.224,-92,4.06583e-14,564.5,26.8468
1.35,-1321,-125,-72.7461,-23,100.459,-44,4.18829e-14,644,-41.5692
1.35,-1216,-14.5,38.9711,-75.5,-30.3109,-40,6.76005e-14,633,-15.5885
1.35,-1088.5,-36.5,45.8993,5.5,-118.645,16,7.59281e-14,567.5,-37.2391
1.35,-1053,37,-3.4641,67,96.9948,10,5.20475e-14,538.5,0.866025
1.35,-1040.5,118,131.636,52,6.9282,-44,8.62151e-14,517.5,-19.9186
1.35,-1248,185,142.028,-11,162.813,-52,5.5354e-14,618,-27.7128
1.35,-1059,-181,-45.0333,55,-121.244,-88,1.03115e-13,538.5,51.0955
1.35,-1124.5,-162.5,-186.195,-12.5,-7.79423,-62,7.50708e-14,547.5,-32.0429
1.35,-1071,-80,-55.4256,1,19.0526,-86,7.92346e-14,560,-10.3923
1.35,-1004,122,-38.1051,16,-6.9282,-40,9.60123e-14,512,-8.66025
1.35,-1046.5,-37.5,-28.5788,-108.5,9.52628,-60,6.31918e-14,536.5,-2.59808
1.35,-1050.5,-160.5,226.033,-78.5,-45.8993,0,2.71872e-14,540.5,11.2583
1.35,-1326.5,-150,100.459,37,67.55,-114,6.23345e-14,665.5,-6.06218
1.35,-1135,86,34.641,-11,64.0859,-58,7.36013e-14,574,8.66025
1.35,-1074,141.5,4.33013,-60.5,-32.0429,-70,1.00544e-13,535.5,7.79423
1.35,-913,-52.5,-80.5404,38.5,-139.43,-138,1.38508e-13,450.5,-40.7032
1.35,-1182.5,8,-62.3538,73,-112.583,-16,1.05809e-13,596.5,-16.4545
1.35,-1047.5,-212.5,-193.124,-15.5,25.1147,86,1.67777e-14,525.5,45.8993
1.35,-817,-164.5,-118.645,77.5,4.33013,2,5.89055e-14,433.5,6.06218
1.35,-1029.5,-159,-232.095,-14,143.76,-48,4.21278e-14,519,15.5885
1.35,-1099,216,-53.6936,154,-74.4782,42,1.14749e-13,566,-12.1244
1.35,-1017,-72.5,52.8275,-123.5,4.33013,-2,3.46575e-14,521,-17.3205
1.35,-1224,225,98.7269,-2,6.9282,24,7.42136e-14,608.5,9.52628
1.35,-1150.5,-53.5,-49.3634,-117.5,-51.0955,50,4.07807e-14,585.5,-35.507
1.35,-1010.5,-94,-228.631,22,128.172,50,2.75546e-14,493,1.73205
1.35,-1013,367,-95.2628,172,-90.0666,88,1.27608e-13,517.5,-6.06218
1.35,-1057.5,128.5,201.784,-36.5,-12.9904,46,4.83735e-14,530,-3.4641
1.35,-1128,-65.5,182.731,53.5,-77.0763,32,5.48642e-14,585,-34.641
1.35,-979,-3,84.8705,-23,-64.0859,-6,6.89476e-14,514.5,-19.9186
1.35,-879,85.5,-118.645,-45.5,-49.3634,-6,8.8297e-14,408,-34.641
1.35,-944.5,37.5,-125.574,41.5,108.253,-36,6.9315e-14,463,3.4641
1.35,-966.5,-42,-31.1769,-104,-62.3538,-24,6.76005e-14,479.5,-11.2583
